CASTOM track file / LorettOrbital 0.0.4
StationName: r8s
Station Position: 36.16776° 54.52678° 0.16km
Satellite: METOP-C
Start date & time: 2022-04-10   07:46:20 UTC
Orbit: 17762
Time (UTC)   Azimuth (deg)   Elevation (deg)

07:46:20   15.65   0.00
07:46:21   15.66   0.06
07:46:22   15.66   0.12
07:46:23   15.67   0.18
07:46:24   15.67   0.24
07:46:25   15.68   0.30
07:46:26   15.68   0.36
07:46:27   15.69   0.42
07:46:28   15.69   0.48
07:46:29   15.70   0.54
07:46:30   15.70   0.60
07:46:31   15.71   0.66
07:46:32   15.72   0.72
07:46:33   15.72   0.78
07:46:34   15.73   0.85
07:46:35   15.73   0.91
07:46:36   15.74   0.97
07:46:37   15.74   1.03
07:46:38   15.75   1.09
07:46:39   15.75   1.15
07:46:40   15.76   1.21
07:46:41   15.76   1.28
07:46:42   15.77   1.34
07:46:43   15.78   1.40
07:46:44   15.78   1.46
07:46:45   15.79   1.53
07:46:46   15.79   1.59
07:46:47   15.80   1.65
07:46:48   15.80   1.72
07:46:49   15.81   1.78
07:46:50   15.81   1.84
07:46:51   15.82   1.91
07:46:52   15.83   1.97
07:46:53   15.83   2.03
07:46:54   15.84   2.10
07:46:55   15.84   2.16
07:46:56   15.85   2.22
07:46:57   15.85   2.29
07:46:58   15.86   2.35
07:46:59   15.86   2.42
07:47:00   15.87   2.48
07:47:01   15.88   2.55
07:47:02   15.88   2.61
07:47:03   15.89   2.68
07:47:04   15.89   2.74
07:47:05   15.90   2.81
07:47:06   15.90   2.87
07:47:07   15.91   2.94
07:47:08   15.92   3.01
07:47:09   15.92   3.07
07:47:10   15.93   3.14
07:47:11   15.93   3.21
07:47:12   15.94   3.27
07:47:13   15.94   3.34
07:47:14   15.95   3.41
07:47:15   15.96   3.47
07:47:16   15.96   3.54
07:47:17   15.97   3.61
07:47:18   15.97   3.68
07:47:19   15.98   3.74
07:47:20   15.98   3.81
07:47:21   15.99   3.88
07:47:22   15.99   3.95
07:47:23   16.00   4.02
07:47:24   16.01   4.08
07:47:25   16.01   4.15
07:47:26   16.02   4.22
07:47:27   16.02   4.29
07:47:28   16.03   4.36
07:47:29   16.04   4.43
07:47:30   16.04   4.50
07:47:31   16.05   4.57
07:47:32   16.05   4.64
07:47:33   16.06   4.71
07:47:34   16.06   4.78
07:47:35   16.07   4.85
07:47:36   16.08   4.92
07:47:37   16.08   4.99
07:47:38   16.09   5.06
07:47:39   16.09   5.14
07:47:40   16.10   5.21
07:47:41   16.10   5.28
07:47:42   16.11   5.35
07:47:43   16.12   5.42
07:47:44   16.12   5.50
07:47:45   16.13   5.57
07:47:46   16.13   5.64
07:47:47   16.14   5.71
07:47:48   16.15   5.79
07:47:49   16.15   5.86
07:47:50   16.16   5.93
07:47:51   16.16   6.01
07:47:52   16.17   6.08
07:47:53   16.18   6.16
07:47:54   16.18   6.23
07:47:55   16.19   6.31
07:47:56   16.19   6.38
07:47:57   16.20   6.46
07:47:58   16.21   6.53
07:47:59   16.21   6.61
07:48:00   16.22   6.68
07:48:01   16.22   6.76
07:48:02   16.23   6.83
07:48:03   16.23   6.91
07:48:04   16.24   6.99
07:48:05   16.25   7.06
07:48:06   16.25   7.14
07:48:07   16.26   7.22
07:48:08   16.27   7.30
07:48:09   16.27   7.37
07:48:10   16.28   7.45
07:48:11   16.28   7.53
07:48:12   16.29   7.61
07:48:13   16.30   7.69
07:48:14   16.30   7.77
07:48:15   16.31   7.85
07:48:16   16.31   7.93
07:48:17   16.32   8.01
07:48:18   16.33   8.09
07:48:19   16.33   8.17
07:48:20   16.34   8.25
07:48:21   16.34   8.33
07:48:22   16.35   8.41
07:48:23   16.36   8.49
07:48:24   16.36   8.57
07:48:25   16.37   8.65
07:48:26   16.38   8.74
07:48:27   16.38   8.82
07:48:28   16.39   8.90
07:48:29   16.39   8.98
07:48:30   16.40   9.07
07:48:31   16.41   9.15
07:48:32   16.41   9.23
07:48:33   16.42   9.32
07:48:34   16.43   9.40
07:48:35   16.43   9.49
07:48:36   16.44   9.57
07:48:37   16.45   9.66
07:48:38   16.45   9.74
07:48:39   16.46   9.83
07:48:40   16.46   9.92
07:48:41   16.47   10.00
07:48:42   16.48   10.09
07:48:43   16.48   10.18
07:48:44   16.49   10.26
07:48:45   16.50   10.35
07:48:46   16.50   10.44
07:48:47   16.51   10.53
07:48:48   16.52   10.62
07:48:49   16.52   10.71
07:48:50   16.53   10.80
07:48:51   16.54   10.89
07:48:52   16.54   10.98
07:48:53   16.55   11.07
07:48:54   16.56   11.16
07:48:55   16.56   11.25
07:48:56   16.57   11.34
07:48:57   16.58   11.43
07:48:58   16.58   11.52
07:48:59   16.59   11.61
07:49:00   16.60   11.71
07:49:01   16.60   11.80
07:49:02   16.61   11.89
07:49:03   16.62   11.99
07:49:04   16.62   12.08
07:49:05   16.63   12.18
07:49:06   16.64   12.27
07:49:07   16.64   12.37
07:49:08   16.65   12.46
07:49:09   16.66   12.56
07:49:10   16.66   12.65
07:49:11   16.67   12.75
07:49:12   16.68   12.85
07:49:13   16.68   12.95
07:49:14   16.69   13.04
07:49:15   16.70   13.14
07:49:16   16.71   13.24
07:49:17   16.71   13.34
07:49:18   16.72   13.44
07:49:19   16.73   13.54
07:49:20   16.73   13.64
07:49:21   16.74   13.74
07:49:22   16.75   13.84
07:49:23   16.75   13.94
07:49:24   16.76   14.05
07:49:25   16.77   14.15
07:49:26   16.78   14.25
07:49:27   16.78   14.36
07:49:28   16.79   14.46
07:49:29   16.80   14.56
07:49:30   16.81   14.67
07:49:31   16.81   14.77
07:49:32   16.82   14.88
07:49:33   16.83   14.99
07:49:34   16.83   15.09
07:49:35   16.84   15.20
07:49:36   16.85   15.31
07:49:37   16.86   15.42
07:49:38   16.86   15.52
07:49:39   16.87   15.63
07:49:40   16.88   15.74
07:49:41   16.89   15.85
07:49:42   16.89   15.96
07:49:43   16.90   16.07
07:49:44   16.91   16.19
07:49:45   16.92   16.30
07:49:46   16.92   16.41
07:49:47   16.93   16.52
07:49:48   16.94   16.64
07:49:49   16.95   16.75
07:49:50   16.96   16.87
07:49:51   16.96   16.98
07:49:52   16.97   17.10
07:49:53   16.98   17.21
07:49:54   16.99   17.33
07:49:55   17.00   17.45
07:49:56   17.00   17.57
07:49:57   17.01   17.69
07:49:58   17.02   17.81
07:49:59   17.03   17.93
07:50:00   17.04   18.05
07:50:01   17.04   18.17
07:50:02   17.05   18.29
07:50:03   17.06   18.41
07:50:04   17.07   18.53
07:50:05   17.08   18.66
07:50:06   17.08   18.78
07:50:07   17.09   18.91
07:50:08   17.10   19.03
07:50:09   17.11   19.16
07:50:10   17.12   19.28
07:50:11   17.13   19.41
07:50:12   17.13   19.54
07:50:13   17.14   19.67
07:50:14   17.15   19.80
07:50:15   17.16   19.93
07:50:16   17.17   20.06
07:50:17   17.18   20.19
07:50:18   17.19   20.32
07:50:19   17.20   20.45
07:50:20   17.20   20.59
07:50:21   17.21   20.72
07:50:22   17.22   20.86
07:50:23   17.23   20.99
07:50:24   17.24   21.13
07:50:25   17.25   21.27
07:50:26   17.26   21.40
07:50:27   17.27   21.54
07:50:28   17.28   21.68
07:50:29   17.29   21.82
07:50:30   17.30   21.96
07:50:31   17.30   22.11
07:50:32   17.31   22.25
07:50:33   17.32   22.39
07:50:34   17.33   22.54
07:50:35   17.34   22.68
07:50:36   17.35   22.83
07:50:37   17.36   22.97
07:50:38   17.37   23.12
07:50:39   17.38   23.27
07:50:40   17.39   23.42
07:50:41   17.40   23.57
07:50:42   17.41   23.72
07:50:43   17.42   23.87
