CASTOM track file / LorettOrbital 0.0.4
StationName: r8s
Station Position: 36.16776° 54.52678° 0.16km
Satellite: NOAA 18
Start date & time: 2022-04-13   08:31:24 UTC
Orbit: 87087
Time (UTC)   Azimuth (deg)   Elevation (deg)

08:31:24   28.04   70.00
08:31:25   28.32   70.45
08:31:26   28.61   70.90
08:31:27   28.92   71.35
08:31:28   29.25   71.81
08:31:29   29.59   72.26
08:31:30   29.95   72.72
08:31:31   30.34   73.18
08:31:32   30.74   73.64
08:31:33   31.17   74.10
08:31:34   31.63   74.56
08:31:35   32.11   75.02
08:31:36   32.63   75.48
08:31:37   33.18   75.95
08:31:38   33.77   76.41
08:31:39   34.41   76.87
08:31:40   35.09   77.33
08:31:41   35.82   77.80
08:31:42   36.61   78.26
08:31:43   37.47   78.72
08:31:44   38.41   79.18
08:31:45   39.42   79.63
08:31:46   40.54   80.09
08:31:47   41.76   80.54
08:31:48   43.10   80.99
08:31:49   44.59   81.43
08:31:50   46.24   81.87
08:31:51   48.07   82.30
08:31:52   50.13   82.73
08:31:53   52.44   83.14
08:31:54   55.04   83.54
08:31:55   57.99   83.93
08:31:56   61.32   84.30
08:31:57   65.11   84.65
08:31:58   69.41   84.97
08:31:59   74.27   85.26
08:32:00   79.73   85.52
08:32:01   85.77   85.72
08:32:02   92.36   85.88
08:32:03   99.36   85.98
08:32:04   106.61   86.02
08:32:05   113.86   85.99
08:32:06   120.91   85.90
08:32:07   127.56   85.75
08:32:08   133.68   85.55
08:32:09   139.21   85.30
08:32:10   144.14   85.01
08:32:11   148.51   84.69
08:32:12   152.37   84.35
08:32:13   155.76   83.98
08:32:14   158.75   83.59
08:32:15   161.40   83.19
08:32:16   163.74   82.78
08:32:17   165.83   82.35
08:32:18   167.69   81.92
08:32:19   169.36   81.48
08:32:20   170.87   81.04
08:32:21   172.23   80.59
08:32:22   173.47   80.14
08:32:23   174.59   79.69
08:32:24   175.62   79.23
08:32:25   176.56   78.77
08:32:26   177.43   78.31
08:32:27   178.23   77.84
08:32:28   178.97   77.38
08:32:29   179.66   76.92
08:32:30   180.30   76.45
08:32:31   180.90   75.99
08:32:32   181.45   75.53
08:32:33   181.98   75.06
08:32:34   182.46   74.60
08:32:35   182.92   74.14
08:32:36   183.36   73.68
08:32:37   183.76   73.21
08:32:38   184.15   72.76
08:32:39   184.51   72.30
08:32:40   184.86   71.84
08:32:41   185.19   71.38
08:32:42   185.50   70.93
08:32:43   185.80   70.48
